show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Netflix Title 1,Director 1,"Actor A, Actor B 1",South Korea,"January 1, 2023",2016,TV-MA,72 min,Thriller,Sample description for title 1
s2,TV Show,Netflix Title 2,Director 2,"Actor A, Actor B 2",United States,"January 2, 2023",2023,TV-PG,1 Seasons,Romance,Sample description for title 2
s3,TV Show,Netflix Title 3,Director 3,"Actor A, Actor B 3",United States,"January 3, 2023",2016,TV-PG,2 Seasons,Thriller,Sample description for title 3
s4,Movie,Netflix Title 4,Director 4,"Actor A, Actor B 4",United States,"January 4, 2023",2006,TV-PG,119 min,Romance,Sample description for title 4
s5,Movie,Netflix Title 5,Director 5,"Actor A, Actor B 5",Japan,"January 5, 2023",2013,R,64 min,Comedy,Sample description for title 5
s6,Movie,Netflix Title 6,Director 6,"Actor A, Actor B 6",Canada,"January 6, 2023",2014,R,103 min,Thriller,Sample description for title 6
s7,Movie,Netflix Title 7,Director 7,"Actor A, Actor B 7",Japan,"January 7, 2023",1996,TV-MA,86 min,Thriller,Sample description for title 7
s8,TV Show,Netflix Title 8,Director 8,"Actor A, Actor B 8",Canada,"January 8, 2023",1995,TV-14,5 Seasons,Documentary,Sample description for title 8
s9,Movie,Netflix Title 9,Director 9,"Actor A, Actor B 9",Japan,"January 9, 2023",2013,TV-14,67 min,Documentary,Sample description for title 9
s10,TV Show,Netflix Title 10,Director 10,"Actor A, Actor B 10",Japan,"January 10, 2023",2022,R,6 Seasons,Drama,Sample description for title 10
s11,Movie,Netflix Title 11,Director 11,"Actor A, Actor B 11",South Korea,"January 11, 2023",2018,TV-MA,131 min,Romance,Sample description for title 11
s12,TV Show,Netflix Title 12,Director 12,"Actor A, Actor B 12",United Kingdom,"January 12, 2023",2011,TV-14,2 Seasons,Documentary,Sample description for title 12
s13,TV Show,Netflix Title 13,Director 13,"Actor A, Actor B 13",Japan,"January 13, 2023",2015,TV-MA,3 Seasons,Drama,Sample description for title 13
s14,Movie,Netflix Title 14,Director 14,"Actor A, Actor B 14",South Korea,"January 14, 2023",2017,TV-MA,177 min,Documentary,Sample description for title 14
s15,Movie,Netflix Title 15,Director 15,"Actor A, Actor B 15",India,"January 15, 2023",2010,TV-MA,103 min,Romance,Sample description for title 15
s16,Movie,Netflix Title 16,Director 16,"Actor A, Actor B 16",United Kingdom,"January 16, 2023",1996,PG,117 min,Thriller,Sample description for title 16
s17,Movie,Netflix Title 17,Director 17,"Actor A, Actor B 17",Japan,"January 17, 2023",2006,TV-PG,62 min,Action,Sample description for title 17
s18,Movie,Netflix Title 18,Director 18,"Actor A, Actor B 18",United States,"January 18, 2023",2009,TV-MA,145 min,Romance,Sample description for title 18
s19,Movie,Netflix Title 19,Director 19,"Actor A, Actor B 19",India,"January 19, 2023",2009,PG,129 min,Comedy,Sample description for title 19
s20,Movie,Netflix Title 20,Director 20,"Actor A, Actor B 0",India,"January 20, 2023",2011,R,61 min,Documentary,Sample description for title 20
s21,Movie,Netflix Title 21,Director 21,"Actor A, Actor B 1",South Korea,"January 21, 2023",2017,TV-14,146 min,Documentary,Sample description for title 21
s22,Movie,Netflix Title 22,Director 22,"Actor A, Actor B 2",India,"January 22, 2023",1996,TV-PG,103 min,Thriller,Sample description for title 22
s23,Movie,Netflix Title 23,Director 23,"Actor A, Actor B 3",United Kingdom,"January 23, 2023",1990,TV-14,61 min,Comedy,Sample description for title 23
s24,Movie,Netflix Title 24,Director 24,"Actor A, Actor B 4",Japan,"January 24, 2023",2021,TV-PG,161 min,Thriller,Sample description for title 24
s25,Movie,Netflix Title 25,Director 25,"Actor A, Actor B 5",Japan,"January 25, 2023",2002,TV-14,140 min,Comedy,Sample description for title 25
s26,TV Show,Netflix Title 26,Director 26,"Actor A, Actor B 6",United States,"January 26, 2023",2019,TV-PG,3 Seasons,Action,Sample description for title 26
s27,Movie,Netflix Title 27,Director 27,"Actor A, Actor B 7",South Korea,"January 27, 2023",2012,TV-14,157 min,Documentary,Sample description for title 27
s28,Movie,Netflix Title 28,Director 28,"Actor A, Actor B 8",United States,"January 28, 2023",2008,TV-14,146 min,Documentary,Sample description for title 28
s29,Movie,Netflix Title 29,Director 29,"Actor A, Actor B 9",India,"January 1, 2023",2021,TV-14,89 min,Action,Sample description for title 29
s30,Movie,Netflix Title 30,Director 30,"Actor A, Actor B 10",United States,"January 2, 2023",2019,TV-14,175 min,Drama,Sample description for title 30
s31,Movie,Netflix Title 31,Director 31,"Actor A, Actor B 11",United Kingdom,"January 3, 2023",2018,R,67 min,Thriller,Sample description for title 31
s32,Movie,Netflix Title 32,Director 32,"Actor A, Actor B 12",Japan,"January 4, 2023",2018,TV-MA,81 min,Action,Sample description for title 32
s33,Movie,Netflix Title 33,Director 33,"Actor A, Actor B 13",India,"January 5, 2023",2019,PG-13,103 min,Thriller,Sample description for title 33
s34,TV Show,Netflix Title 34,Director 34,"Actor A, Actor B 14",United States,"January 6, 2023",2005,PG,4 Seasons,Romance,Sample description for title 34
s35,TV Show,Netflix Title 35,Director 35,"Actor A, Actor B 15",South Korea,"January 7, 2023",2008,PG-13,5 Seasons,Documentary,Sample description for title 35
s36,TV Show,Netflix Title 36,Director 36,"Actor A, Actor B 16",United Kingdom,"January 8, 2023",2007,PG-13,9 Seasons,Thriller,Sample description for title 36
s37,Movie,Netflix Title 37,Director 37,"Actor A, Actor B 17",United Kingdom,"January 9, 2023",1990,TV-PG,114 min,Comedy,Sample description for title 37
s38,Movie,Netflix Title 38,Director 38,"Actor A, Actor B 18",United States,"January 10, 2023",2003,TV-MA,139 min,Thriller,Sample description for title 38
s39,Movie,Netflix Title 39,Director 39,"Actor A, Actor B 19",Japan,"January 11, 2023",1991,TV-PG,165 min,Romance,Sample description for title 39
s40,Movie,Netflix Title 40,Director 40,"Actor A, Actor B 0",United States,"January 12, 2023",2017,TV-MA,121 min,Documentary,Sample description for title 40
s41,Movie,Netflix Title 41,Director 41,"Actor A, Actor B 1",India,"January 13, 2023",2019,TV-MA,89 min,Action,Sample description for title 41
s42,Movie,Netflix Title 42,Director 42,"Actor A, Actor B 2",United States,"January 14, 2023",1993,TV-14,114 min,Romance,Sample description for title 42
s43,Movie,Netflix Title 43,Director 43,"Actor A, Actor B 3",United Kingdom,"January 15, 2023",1990,R,75 min,Documentary,Sample description for title 43
s44,TV Show,Netflix Title 44,Director 44,"Actor A, Actor B 4",United States,"January 16, 2023",1997,TV-14,1 Seasons,Thriller,Sample description for title 44
s45,Movie,Netflix Title 45,Director 45,"Actor A, Actor B 5",Japan,"January 17, 2023",2018,R,75 min,Drama,Sample description for title 45
s46,Movie,Netflix Title 46,Director 46,"Actor A, Actor B 6",South Korea,"January 18, 2023",1992,TV-PG,71 min,Drama,Sample description for title 46
s47,Movie,Netflix Title 47,Director 47,"Actor A, Actor B 7",Canada,"January 19, 2023",2021,R,67 min,Comedy,Sample description for title 47
s48,Movie,Netflix Title 48,Director 48,"Actor A, Actor B 8",United States,"January 20, 2023",1999,TV-PG,143 min,Documentary,Sample description for title 48
s49,Movie,Netflix Title 49,Director 49,"Actor A, Actor B 9",Japan,"January 21, 2023",1999,PG-13,62 min,Drama,Sample description for title 49
s50,Movie,Netflix Title 50,Director 0,"Actor A, Actor B 10",Japan,"January 22, 2023",2008,PG-13,75 min,Action,Sample description for title 50
s51,TV Show,Netflix Title 51,Director 1,"Actor A, Actor B 11",South Korea,"January 23, 2023",2023,R,7 Seasons,Documentary,Sample description for title 51
s52,TV Show,Netflix Title 52,Director 2,"Actor A, Actor B 12",United Kingdom,"January 24, 2023",2022,R,3 Seasons,Action,Sample description for title 52
s53,TV Show,Netflix Title 53,Director 3,"Actor A, Actor B 13",Japan,"January 25, 2023",2012,TV-PG,8 Seasons,Action,Sample description for title 53
s54,TV Show,Netflix Title 54,Director 4,"Actor A, Actor B 14",Japan,"January 26, 2023",2017,TV-14,6 Seasons,Drama,Sample description for title 54
s55,Movie,Netflix Title 55,Director 5,"Actor A, Actor B 15",Japan,"January 27, 2023",2021,TV-PG,64 min,Documentary,Sample description for title 55
s56,TV Show,Netflix Title 56,Director 6,"Actor A, Actor B 16",Japan,"January 28, 2023",1996,TV-14,4 Seasons,Thriller,Sample description for title 56
s57,Movie,Netflix Title 57,Director 7,"Actor A, Actor B 17",India,"January 1, 2023",2018,PG-13,163 min,Romance,Sample description for title 57
s58,Movie,Netflix Title 58,Director 8,"Actor A, Actor B 18",India,"January 2, 2023",1997,TV-MA,179 min,Drama,Sample description for title 58
s59,Movie,Netflix Title 59,Director 9,"Actor A, Actor B 19",United Kingdom,"January 3, 2023",1990,R,167 min,Drama,Sample description for title 59
s60,Movie,Netflix Title 60,Director 10,"Actor A, Actor B 0",United States,"January 4, 2023",1992,TV-14,124 min,Thriller,Sample description for title 60
s61,Movie,Netflix Title 61,Director 11,"Actor A, Actor B 1",Japan,"January 5, 2023",2013,TV-PG,89 min,Documentary,Sample description for title 61
s62,Movie,Netflix Title 62,Director 12,"Actor A, Actor B 2",South Korea,"January 6, 2023",2012,PG-13,80 min,Documentary,Sample description for title 62
s63,TV Show,Netflix Title 63,Director 13,"Actor A, Actor B 3",United States,"January 7, 2023",1997,TV-14,4 Seasons,Action,Sample description for title 63
s64,Movie,Netflix Title 64,Director 14,"Actor A, Actor B 4",South Korea,"January 8, 2023",1992,TV-PG,129 min,Thriller,Sample description for title 64
s65,Movie,Netflix Title 65,Director 15,"Actor A, Actor B 5",United States,"January 9, 2023",2022,R,81 min,Thriller,Sample description for title 65
s66,Movie,Netflix Title 66,Director 16,"Actor A, Actor B 6",United Kingdom,"January 10, 2023",2017,R,141 min,Documentary,Sample description for title 66
s67,Movie,Netflix Title 67,Director 17,"Actor A, Actor B 7",Japan,"January 11, 2023",1997,PG,131 min,Action,Sample description for title 67
s68,TV Show,Netflix Title 68,Director 18,"Actor A, Actor B 8",Japan,"January 12, 2023",2023,TV-MA,7 Seasons,Drama,Sample description for title 68
s69,Movie,Netflix Title 69,Director 19,"Actor A, Actor B 9",Canada,"January 13, 2023",2024,PG,91 min,Comedy,Sample description for title 69
s70,TV Show,Netflix Title 70,Director 20,"Actor A, Actor B 10",South Korea,"January 14, 2023",2021,PG-13,1 Seasons,Romance,Sample description for title 70
s71,TV Show,Netflix Title 71,Director 21,"Actor A, Actor B 11",United States,"January 15, 2023",2013,TV-14,5 Seasons,Drama,Sample description for title 71
s72,Movie,Netflix Title 72,Director 22,"Actor A, Actor B 12",United States,"January 16, 2023",2003,PG-13,75 min,Documentary,Sample description for title 72
s73,Movie,Netflix Title 73,Director 23,"Actor A, Actor B 13",India,"January 17, 2023",2021,TV-PG,135 min,Romance,Sample description for title 73
s74,TV Show,Netflix Title 74,Director 24,"Actor A, Actor B 14",Canada,"January 18, 2023",2005,R,6 Seasons,Comedy,Sample description for title 74
s75,TV Show,Netflix Title 75,Director 25,"Actor A, Actor B 15",India,"January 19, 2023",1993,PG,4 Seasons,Comedy,Sample description for title 75
s76,TV Show,Netflix Title 76,Director 26,"Actor A, Actor B 16",India,"January 20, 2023",2010,PG,2 Seasons,Action,Sample description for title 76
s77,TV Show,Netflix Title 77,Director 27,"Actor A, Actor B 17",India,"January 21, 2023",2003,PG,4 Seasons,Romance,Sample description for title 77
s78,Movie,Netflix Title 78,Director 28,"Actor A, Actor B 18",South Korea,"January 22, 2023",2020,PG-13,156 min,Action,Sample description for title 78
s79,Movie,Netflix Title 79,Director 29,"Actor A, Actor B 19",South Korea,"January 23, 2023",2007,R,82 min,Drama,Sample description for title 79
s80,Movie,Netflix Title 80,Director 30,"Actor A, Actor B 0",United Kingdom,"January 24, 2023",1996,TV-14,173 min,Thriller,Sample description for title 80
s81,TV Show,Netflix Title 81,Director 31,"Actor A, Actor B 1",United Kingdom,"January 25, 2023",1999,TV-PG,2 Seasons,Thriller,Sample description for title 81
s82,Movie,Netflix Title 82,Director 32,"Actor A, Actor B 2",India,"January 26, 2023",1996,TV-14,164 min,Thriller,Sample description for title 82
s83,Movie,Netflix Title 83,Director 33,"Actor A, Actor B 3",Canada,"January 27, 2023",2022,PG-13,144 min,Romance,Sample description for title 83
s84,Movie,Netflix Title 84,Director 34,"Actor A, Actor B 4",United States,"January 28, 2023",2012,TV-PG,61 min,Thriller,Sample description for title 84
s85,Movie,Netflix Title 85,Director 35,"Actor A, Actor B 5",South Korea,"January 1, 2023",2010,PG,150 min,Drama,Sample description for title 85
s86,Movie,Netflix Title 86,Director 36,"Actor A, Actor B 6",Canada,"January 2, 2023",2008,TV-MA,132 min,Action,Sample description for title 86
s87,TV Show,Netflix Title 87,Director 37,"Actor A, Actor B 7",Japan,"January 3, 2023",2008,PG-13,1 Seasons,Romance,Sample description for title 87
s88,Movie,Netflix Title 88,Director 38,"Actor A, Actor B 8",South Korea,"January 4, 2023",2018,PG-13,134 min,Action,Sample description for title 88
s89,TV Show,Netflix Title 89,Director 39,"Actor A, Actor B 9",South Korea,"January 5, 2023",2007,R,3 Seasons,Romance,Sample description for title 89
s90,Movie,Netflix Title 90,Director 40,"Actor A, Actor B 10",United Kingdom,"January 6, 2023",1991,TV-14,111 min,Action,Sample description for title 90
s91,Movie,Netflix Title 91,Director 41,"Actor A, Actor B 11",United States,"January 7, 2023",1990,PG-13,121 min,Comedy,Sample description for title 91
s92,TV Show,Netflix Title 92,Director 42,"Actor A, Actor B 12",United States,"January 8, 2023",1994,PG-13,7 Seasons,Action,Sample description for title 92
s93,TV Show,Netflix Title 93,Director 43,"Actor A, Actor B 13",Japan,"January 9, 2023",2009,PG,4 Seasons,Thriller,Sample description for title 93
s94,Movie,Netflix Title 94,Director 44,"Actor A, Actor B 14",Japan,"January 10, 2023",2000,PG,141 min,Comedy,Sample description for title 94
s95,TV Show,Netflix Title 95,Director 45,"Actor A, Actor B 15",South Korea,"January 11, 2023",1991,TV-PG,7 Seasons,Action,Sample description for title 95
s96,Movie,Netflix Title 96,Director 46,"Actor A, Actor B 16",India,"January 12, 2023",1992,TV-MA,65 min,Romance,Sample description for title 96
s97,Movie,Netflix Title 97,Director 47,"Actor A, Actor B 17",United Kingdom,"January 13, 2023",2012,R,94 min,Romance,Sample description for title 97
s98,Movie,Netflix Title 98,Director 48,"Actor A, Actor B 18",United Kingdom,"January 14, 2023",2001,TV-MA,81 min,Romance,Sample description for title 98
s99,Movie,Netflix Title 99,Director 49,"Actor A, Actor B 19",South Korea,"January 15, 2023",2009,TV-PG,102 min,Documentary,Sample description for title 99
s100,Movie,Netflix Title 100,Director 0,"Actor A, Actor B 0",Canada,"January 16, 2023",1994,PG,74 min,Drama,Sample description for title 100
s101,Movie,Netflix Title 101,Director 1,"Actor A, Actor B 1",India,"January 17, 2023",2019,TV-14,145 min,Romance,Sample description for title 101
s102,Movie,Netflix Title 102,Director 2,"Actor A, Actor B 2",South Korea,"January 18, 2023",1998,PG,119 min,Comedy,Sample description for title 102
s103,Movie,Netflix Title 103,Director 3,"Actor A, Actor B 3",India,"January 19, 2023",2023,R,160 min,Romance,Sample description for title 103
s104,Movie,Netflix Title 104,Director 4,"Actor A, Actor B 4",India,"January 20, 2023",2024,PG,175 min,Documentary,Sample description for title 104
s105,TV Show,Netflix Title 105,Director 5,"Actor A, Actor B 5",India,"January 21, 2023",2011,R,1 Seasons,Thriller,Sample description for title 105
s106,Movie,Netflix Title 106,Director 6,"Actor A, Actor B 6",South Korea,"January 22, 2023",2013,R,101 min,Comedy,Sample description for title 106
s107,Movie,Netflix Title 107,Director 7,"Actor A, Actor B 7",United Kingdom,"January 23, 2023",2006,R,97 min,Documentary,Sample description for title 107
s108,TV Show,Netflix Title 108,Director 8,"Actor A, Actor B 8",United Kingdom,"January 24, 2023",1999,TV-PG,2 Seasons,Thriller,Sample description for title 108
s109,Movie,Netflix Title 109,Director 9,"Actor A, Actor B 9",India,"January 25, 2023",2019,R,104 min,Comedy,Sample description for title 109
s110,Movie,Netflix Title 110,Director 10,"Actor A, Actor B 10",Canada,"January 26, 2023",2012,R,94 min,Action,Sample description for title 110
s111,Movie,Netflix Title 111,Director 11,"Actor A, Actor B 11",United States,"January 27, 2023",2021,TV-14,89 min,Drama,Sample description for title 111
s112,Movie,Netflix Title 112,Director 12,"Actor A, Actor B 12",South Korea,"January 28, 2023",2006,TV-MA,147 min,Drama,Sample description for title 112
s113,TV Show,Netflix Title 113,Director 13,"Actor A, Actor B 13",United States,"January 1, 2023",2006,PG-13,6 Seasons,Documentary,Sample description for title 113
s114,TV Show,Netflix Title 114,Director 14,"Actor A, Actor B 14",Canada,"January 2, 2023",2003,TV-MA,3 Seasons,Thriller,Sample description for title 114
s115,Movie,Netflix Title 115,Director 15,"Actor A, Actor B 15",South Korea,"January 3, 2023",1998,R,139 min,Drama,Sample description for title 115
s116,TV Show,Netflix Title 116,Director 16,"Actor A, Actor B 16",India,"January 4, 2023",1991,TV-14,7 Seasons,Thriller,Sample description for title 116
s117,TV Show,Netflix Title 117,Director 17,"Actor A, Actor B 17",United Kingdom,"January 5, 2023",2014,PG,4 Seasons,Thriller,Sample description for title 117
s118,Movie,Netflix Title 118,Director 18,"Actor A, Actor B 18",United States,"January 6, 2023",1998,TV-14,73 min,Documentary,Sample description for title 118
s119,TV Show,Netflix Title 119,Director 19,"Actor A, Actor B 19",Japan,"January 7, 2023",2011,R,9 Seasons,Documentary,Sample description for title 119
s120,Movie,Netflix Title 120,Director 20,"Actor A, Actor B 0",Japan,"January 8, 2023",1993,TV-14,74 min,Documentary,Sample description for title 120
s121,TV Show,Netflix Title 121,Director 21,"Actor A, Actor B 1",Canada,"January 9, 2023",2015,TV-14,5 Seasons,Drama,Sample description for title 121
s122,TV Show,Netflix Title 122,Director 22,"Actor A, Actor B 2",India,"January 10, 2023",2018,R,3 Seasons,Documentary,Sample description for title 122
s123,Movie,Netflix Title 123,Director 23,"Actor A, Actor B 3",United States,"January 11, 2023",2023,TV-PG,125 min,Drama,Sample description for title 123
s124,Movie,Netflix Title 124,Director 24,"Actor A, Actor B 4",India,"January 12, 2023",2012,TV-14,150 min,Documentary,Sample description for title 124
s125,Movie,Netflix Title 125,Director 25,"Actor A, Actor B 5",United States,"January 13, 2023",2000,PG-13,61 min,Romance,Sample description for title 125
s126,Movie,Netflix Title 126,Director 26,"Actor A, Actor B 6",Canada,"January 14, 2023",1995,PG-13,94 min,Thriller,Sample description for title 126
s127,TV Show,Netflix Title 127,Director 27,"Actor A, Actor B 7",Canada,"January 15, 2023",2007,TV-14,2 Seasons,Documentary,Sample description for title 127
s128,TV Show,Netflix Title 128,Director 28,"Actor A, Actor B 8",Japan,"January 16, 2023",2010,TV-PG,4 Seasons,Comedy,Sample description for title 128
s129,Movie,Netflix Title 129,Director 29,"Actor A, Actor B 9",India,"January 17, 2023",2023,PG,141 min,Thriller,Sample description for title 129
s130,Movie,Netflix Title 130,Director 30,"Actor A, Actor B 10",South Korea,"January 18, 2023",2006,R,69 min,Thriller,Sample description for title 130
s131,Movie,Netflix Title 131,Director 31,"Actor A, Actor B 11",Japan,"January 19, 2023",2014,PG-13,84 min,Documentary,Sample description for title 131
s132,Movie,Netflix Title 132,Director 32,"Actor A, Actor B 12",India,"January 20, 2023",2001,PG,125 min,Action,Sample description for title 132
s133,Movie,Netflix Title 133,Director 33,"Actor A, Actor B 13",Japan,"January 21, 2023",2012,TV-14,84 min,Documentary,Sample description for title 133
s134,Movie,Netflix Title 134,Director 34,"Actor A, Actor B 14",South Korea,"January 22, 2023",2011,PG,113 min,Thriller,Sample description for title 134
s135,TV Show,Netflix Title 135,Director 35,"Actor A, Actor B 15",United Kingdom,"January 23, 2023",2010,TV-MA,1 Seasons,Comedy,Sample description for title 135
s136,Movie,Netflix Title 136,Director 36,"Actor A, Actor B 16",United Kingdom,"January 24, 2023",2016,PG-13,95 min,Thriller,Sample description for title 136
s137,Movie,Netflix Title 137,Director 37,"Actor A, Actor B 17",United Kingdom,"January 25, 2023",2020,TV-14,154 min,Comedy,Sample description for title 137
s138,TV Show,Netflix Title 138,Director 38,"Actor A, Actor B 18",United Kingdom,"January 26, 2023",1995,R,1 Seasons,Drama,Sample description for title 138
s139,Movie,Netflix Title 139,Director 39,"Actor A, Actor B 19",United States,"January 27, 2023",2016,TV-PG,169 min,Romance,Sample description for title 139
s140,TV Show,Netflix Title 140,Director 40,"Actor A, Actor B 0",United Kingdom,"January 28, 2023",2023,TV-14,6 Seasons,Thriller,Sample description for title 140
s141,TV Show,Netflix Title 141,Director 41,"Actor A, Actor B 1",South Korea,"January 1, 2023",2001,R,4 Seasons,Documentary,Sample description for title 141
s142,Movie,Netflix Title 142,Director 42,"Actor A, Actor B 2",Canada,"January 2, 2023",1996,TV-PG,62 min,Drama,Sample description for title 142
s143,Movie,Netflix Title 143,Director 43,"Actor A, Actor B 3",Canada,"January 3, 2023",1999,TV-PG,158 min,Romance,Sample description for title 143
s144,Movie,Netflix Title 144,Director 44,"Actor A, Actor B 4",United States,"January 4, 2023",2006,TV-14,100 min,Documentary,Sample description for title 144
s145,Movie,Netflix Title 145,Director 45,"Actor A, Actor B 5",United Kingdom,"January 5, 2023",2015,PG,65 min,Action,Sample description for title 145
s146,Movie,Netflix Title 146,Director 46,"Actor A, Actor B 6",United Kingdom,"January 6, 2023",2010,PG,84 min,Documentary,Sample description for title 146
s147,Movie,Netflix Title 147,Director 47,"Actor A, Actor B 7",United Kingdom,"January 7, 2023",2017,TV-PG,72 min,Comedy,Sample description for title 147
s148,Movie,Netflix Title 148,Director 48,"Actor A, Actor B 8",Japan,"January 8, 2023",1991,PG,176 min,Comedy,Sample description for title 148
s149,Movie,Netflix Title 149,Director 49,"Actor A, Actor B 9",India,"January 9, 2023",1990,TV-MA,157 min,Action,Sample description for title 149
s150,Movie,Netflix Title 150,Director 0,"Actor A, Actor B 10",Japan,"January 10, 2023",2015,TV-PG,67 min,Drama,Sample description for title 150
s151,TV Show,Netflix Title 151,Director 1,"Actor A, Actor B 11",India,"January 11, 2023",2018,TV-PG,5 Seasons,Romance,Sample description for title 151
s152,Movie,Netflix Title 152,Director 2,"Actor A, Actor B 12",United Kingdom,"January 12, 2023",2010,R,157 min,Documentary,Sample description for title 152
s153,Movie,Netflix Title 153,Director 3,"Actor A, Actor B 13",United Kingdom,"January 13, 2023",2000,PG,127 min,Comedy,Sample description for title 153
s154,Movie,Netflix Title 154,Director 4,"Actor A, Actor B 14",Japan,"January 14, 2023",2000,TV-PG,84 min,Drama,Sample description for title 154
s155,TV Show,Netflix Title 155,Director 5,"Actor A, Actor B 15",Japan,"January 15, 2023",2024,TV-MA,4 Seasons,Action,Sample description for title 155
s156,Movie,Netflix Title 156,Director 6,"Actor A, Actor B 16",India,"January 16, 2023",2023,R,104 min,Thriller,Sample description for title 156
s157,Movie,Netflix Title 157,Director 7,"Actor A, Actor B 17",Canada,"January 17, 2023",2013,TV-14,119 min,Comedy,Sample description for title 157
s158,TV Show,Netflix Title 158,Director 8,"Actor A, Actor B 18",India,"January 18, 2023",2011,TV-PG,4 Seasons,Action,Sample description for title 158
s159,Movie,Netflix Title 159,Director 9,"Actor A, Actor B 19",Japan,"January 19, 2023",1994,TV-MA,77 min,Documentary,Sample description for title 159
s160,TV Show,Netflix Title 160,Director 10,"Actor A, Actor B 0",South Korea,"January 20, 2023",2022,PG-13,6 Seasons,Romance,Sample description for title 160
s161,Movie,Netflix Title 161,Director 11,"Actor A, Actor B 1",Japan,"January 21, 2023",2009,TV-MA,91 min,Comedy,Sample description for title 161
s162,Movie,Netflix Title 162,Director 12,"Actor A, Actor B 2",South Korea,"January 22, 2023",2008,TV-MA,152 min,Comedy,Sample description for title 162
s163,Movie,Netflix Title 163,Director 13,"Actor A, Actor B 3",United States,"January 23, 2023",2024,R,102 min,Documentary,Sample description for title 163
s164,Movie,Netflix Title 164,Director 14,"Actor A, Actor B 4",Japan,"January 24, 2023",2006,TV-14,61 min,Thriller,Sample description for title 164
s165,Movie,Netflix Title 165,Director 15,"Actor A, Actor B 5",United States,"January 25, 2023",2023,PG-13,119 min,Drama,Sample description for title 165
s166,TV Show,Netflix Title 166,Director 16,"Actor A, Actor B 6",Canada,"January 26, 2023",1998,PG,7 Seasons,Romance,Sample description for title 166
s167,Movie,Netflix Title 167,Director 17,"Actor A, Actor B 7",India,"January 27, 2023",2015,PG,142 min,Comedy,Sample description for title 167
